question,gold_answer,instance_id,mention_context,gold_mention,gold_cui
Which are the types of cancer that c-Myc is associated with?,"The types of cancer that c-Myc is associates with are breast cancer, non-small-cell lung cancer and pancreatic ductal adenocarcinoma.",bioasq_94,Which are the types of cancer that c-Myc is associated with?,"The types of cancer that c-Myc is associates with are breast cancer, non-small-c",QA_ANSWER
What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?,Facioscapulohumeral muscular dystrophy has an autosomal dominant inheritance pattern.,bioasq_95,What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?,Facioscapulohumeral muscular dystrophy has an autosomal dominant inheritance pat,QA_ANSWER
Which cloud-based platform has been developed for comparing GWAS?,EasyGWAS is a cloud-based platform for comparing the results of Genome-Wide Association Studies (GWAS).,bioasq_96,Which cloud-based platform has been developed for comparing GWAS?,EasyGWAS is a cloud-based platform for comparing the results of Genome-Wide Asso,QA_ANSWER
Should corticosteroids be considered as adjunctive therapy in paediatric sepsis management?,No. Corticosteroids should not be considered as adjunctive therapy in paediatric sepsis management.,bioasq_97,Should corticosteroids be considered as adjunctive therapy in paediatric sepsis management?,No. Corticosteroids should not be considered as adjunctive therapy in paediatric,QA_ANSWER
Which domain allowing self-association do exist in TDP-43 and FUS proteins?,PRION PROTEINS,bioasq_98,Which domain allowing self-association do exist in TDP-43 and FUS proteins?,PRION PROTEINS,QA_ANSWER
Is a CpG island methylator phenotype involved in ependymomas?,"Although devoid of recurrent single nucleotide variants and focal copy number aberrations, poor-prognosis hindbrain ependymomas exhibit a CpG island methylator phenotype",bioasq_99,Is a CpG island methylator phenotype involved in ependymomas?,Although devoid of recurrent single nucleotide variants and focal copy number ab,QA_ANSWER
Which protein is affected by dusp8 activation?,dusp8 (M3/6) is a dual-specificity phosphatase selective for JNK.,bioasq_100,Which protein is affected by dusp8 activation?,dusp8 (M3/6) is a dual-specificity phosphatase selective for JNK.,QA_ANSWER
What is the molecular pathogenesis of Spinal Muscular Atrophy?,"Spinal muscular atrophy is an autosomal recessive neurodegenerative disease characterised by degeneration of spinal cord motor neurons, atrophy of skeletal muscles, and generalised weakness. It is cau",bioasq_101,What is the molecular pathogenesis of Spinal Muscular Atrophy?,Spinal muscular atrophy is an autosomal recessive neurodegenerative disease char,QA_ANSWER
Is Cabotegravir effective for HIV prevention?,"Yes, Cabotegravir is effective for HIV prevention.",bioasq_102,Is Cabotegravir effective for HIV prevention?,"Yes, Cabotegravir is effective for HIV prevention.",QA_ANSWER
What is golodirsen's mechanism of action?,"Golodirsen is a phosphorodiamidate morpholino oligomer (PMO) designed to induce exon 53 skipping in pre-mRNA processing. This exon skipping restores the reading frame of the primary transcript of DMD,",bioasq_103,What is golodirsen's mechanism of action?,Golodirsen is a phosphorodiamidate morpholino oligomer (PMO) designed to induce ,QA_ANSWER
Class-defining mutations in which genes drive FLT3-ITD-mutant AML?,"Advances in cancer genomics have revealed genomic classes of acute myeloid leukemia (AML) characterized by class-defining mutations, such as chimeric fusion genes or in genes such as NPM1, MLL, and CE",bioasq_104,Class-defining mutations in which genes drive FLT3-ITD-mutant AML?,Advances in cancer genomics have revealed genomic classes of acute myeloid leuke,QA_ANSWER
"What are the phenotypic features of the autosomal dominant, development disease, Noonans syndrome","Noonan syndrome (NS) is an autosomal dominant disorder with vast heterogeneity in clinical and genetic features. Various symptoms have been reported for this abnormality such as short stature, unusual",bioasq_105,"What are the phenotypic features of the autosomal dominant, development disease, Noonans syndrome",Noonan syndrome (NS) is an autosomal dominant disorder with vast heterogeneity i,QA_ANSWER
Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",bioasq_106,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use",QA_ANSWER
Are alterations in ultraconserved elements associated with colorectal adenocarcinoma?,yes,bioasq_107,Are alterations in ultraconserved elements associated with colorectal adenocarcinoma?,yes,QA_ANSWER
Are there any urine biomarkers for chronic kidney disease?,"Chronic kidney disease (CKD), is a progressive loss in renal function over a period of months or years. The symptoms of worsening kidney function are non-specific, and might include feeling generally ",bioasq_108,Are there any urine biomarkers for chronic kidney disease?,"Chronic kidney disease (CKD), is a progressive loss in renal function over a per",QA_ANSWER
What are the eRNA-producing centers (EPCs)?,"Active enhancers in mammals produce enhancer RNAs (eRNAs) that are bidirectionally transcribed, unspliced, and unstable. Enhancer regions are also enriched with long noncoding RNA (lncRNA) transcripts",bioasq_109,What are the eRNA-producing centers (EPCs)?,Active enhancers in mammals produce enhancer RNAs (eRNAs) that are bidirectional,QA_ANSWER
Losigamone can be used for treatment of which disease?,Losigamone is sometimes used as an add-on therapy for epilepsy.,bioasq_110,Losigamone can be used for treatment of which disease?,Losigamone is sometimes used as an add-on therapy for epilepsy.,QA_ANSWER
Which deep learning framework has been developed for cancer molecular subtype classification?,Molecular subtyping of cancer is a critical step towards more individualized therapy and provides important biological insights into cancer heterogeneity. Although gene expression signature-based clas,bioasq_111,Which deep learning framework has been developed for cancer molecular subtype classification?,Molecular subtyping of cancer is a critical step towards more individualized the,QA_ANSWER
Is FKBP52 encoding a chaperone ?,"Yes,
FKBP52 is a co-chaperone.",bioasq_112,Is FKBP52 encoding a chaperone ?,"Yes,
FKBP52 is a co-chaperone.",QA_ANSWER
Which eukaryote genomes contain operons?,Genes in nematode and ascidian genomes frequently occur in operons such genes comprise 15-20% of the coding genome for Caenorhabditis elegans and Ciona intestinalis We find that birth-death models of ,bioasq_113,Which eukaryote genomes contain operons?,Genes in nematode and ascidian genomes frequently occur in operons such genes co,QA_ANSWER
What is the mode of action of the Tc toxins?,The toxin complex (tc) genes of bacteria comprise a large and growing family whose mode of action remains obscure. Tc toxins are widely distributed among different gram-negative and gram-positive bact,bioasq_114,What is the mode of action of the Tc toxins?,The toxin complex (tc) genes of bacteria comprise a large and growing family who,QA_ANSWER
Has Revlimid been approved by the US Food and Drug Administration?,"Yes, Revlimid has been approved by the US Food and Drug Administration for treatment of multiple myeloma.",bioasq_115,Has Revlimid been approved by the US Food and Drug Administration?,"Yes, Revlimid has been approved by the US Food and Drug Administration for treat",QA_ANSWER
Are Conserved Nonexonic Elements (CNEEs) important in phylogenomics research?,"Yes. Conserved Nonexonic Elements (CNEEs) appear to be promising as phylogenomic markers, yielding phylogenetic resolution as high as for UCEs and introns but with fewer gaps, less ambiguity in alignm",bioasq_116,Are Conserved Nonexonic Elements (CNEEs) important in phylogenomics research?,Yes. Conserved Nonexonic Elements (CNEEs) appear to be promising as phylogenomic,QA_ANSWER
What does RUNX2 stand for?,Runt related factor-2,bioasq_117,What does RUNX2 stand for?,Runt related factor-2,QA_ANSWER
Is MK-1602 a CGRP antagonist?,"Yes, MK-1602 is a CGRP antagonist.",bioasq_118,Is MK-1602 a CGRP antagonist?,"Yes, MK-1602 is a CGRP antagonist.",QA_ANSWER
What does iBAQ stand for in proteomic analysis?,iBAQ stands for intensity-based absolute quantification.,bioasq_119,What does iBAQ stand for in proteomic analysis?,iBAQ stands for intensity-based absolute quantification.,QA_ANSWER
Which is the prevalence of cystic fibrosis in the human population?,Prevalence of Cystic Fibrosis varies according to the population. A theoretical estimate of the prevalence of cystic fibrosis based on anthropological data suggested a frequency of 25 affected individ,bioasq_120,Which is the prevalence of cystic fibrosis in the human population?,Prevalence of Cystic Fibrosis varies according to the population. A theoretical ,QA_ANSWER
What do studies show about the effect of Induced hypothermia in premature babies?,Randomised studies have demonstrated the efficacy of hypothermia for the treatment of perinatal hypoxic-ischaemic encephalopathy (HIE)  in reducing rate of death or neurodevelopmental disabilities in ,bioasq_121,What do studies show about the effect of Induced hypothermia in premature babies?,Randomised studies have demonstrated the efficacy of hypothermia for the treatme,QA_ANSWER
Which key gene is involved in syndromic obesity phenotype of patients with 1p21.3 microdeletions?,MIR137 is the key gene mediator of the syndromic obesity phenotype of patients with 1p21. 3 microdeletions.,bioasq_122,Which key gene is involved in syndromic obesity phenotype of patients with 1p21.3 microdeletions?,MIR137 is the key gene mediator of the syndromic obesity phenotype of patients w,QA_ANSWER
Please list symptoms of measles.,The leading symptoms of the disease are high fever that presents after an incubation period of 9-10 days and the red rash that begins several days after the fever starts. Beyond specific generalized s,bioasq_123,Please list symptoms of measles.,The leading symptoms of the disease are high fever that presents after an incuba,QA_ANSWER
What is OAC CHV?,"The Open Access and Collaborative Consumer Health Vocabulary (OAC CHV), which contains health-related terms used by lay consumers,",bioasq_124,What is OAC CHV?,"The Open Access and Collaborative Consumer Health Vocabulary (OAC CHV), which co",QA_ANSWER
Does splicing occur co-transcriptionally?,"The consensus view, based on four organisms, is that the majority of splicing events take place co-transcriptionally in most cells and tissues. RNA processing events that take place on the transcribed",bioasq_125,Does splicing occur co-transcriptionally?,"The consensus view, based on four organisms, is that the majority of splicing ev",QA_ANSWER
Why does cranberry juice help combat urinary tract infections?,"Cranberry products affect the surface properties, such as fimbriae and lipopolysaccharides, and adhesion of fimbriated and nonfimbriated E. coli.",bioasq_126,Why does cranberry juice help combat urinary tract infections?,"Cranberry products affect the surface properties, such as fimbriae and lipopolys",QA_ANSWER
Which molecule is inhibited by larotrectinib?,"Larotrectinib is oral, potent, and selective inhibitor of tropomyosin receptor kinases (TRK). It demonstrated unprecedented efficacy on unresectable or metastatic solid tumors with neurotrophic tropom",bioasq_127,Which molecule is inhibited by larotrectinib?,"Larotrectinib is oral, potent, and selective inhibitor of tropomyosin receptor k",QA_ANSWER
Is DNA polymerase θ involved in DNA repair?,"Yes, 	DNA polymerase θ protects against genomic instability via an alternative end-joining repair pathway for DNA double-strand breaks.",bioasq_128,Is DNA polymerase θ involved in DNA repair?,"Yes, 	DNA polymerase θ protects against genomic instability via an alternative e",QA_ANSWER
List BET proteins.,"BRD2
BRD3
BRD4
Bdf1",bioasq_129,List BET proteins.,"BRD2
BRD3
BRD4
Bdf1",QA_ANSWER
Which is the substrate of the haspin kinase during mitosis?,Haspin phosphorylates histone H3 at Thr3 (H3T3ph) during mitosis,bioasq_130,Which is the substrate of the haspin kinase during mitosis?,Haspin phosphorylates histone H3 at Thr3 (H3T3ph) during mitosis,QA_ANSWER
"List proteins that are targeted by ""immune checkpoints inhibitors"".",The treatment landscape of advanced melanoma has changed significantly following the discovery and marketing authorisation of immune checkpoints inhibitors. Ipilimumab (anti-CTLA-4) was the first one ,bioasq_131,"List proteins that are targeted by ""immune checkpoints inhibitors"".",The treatment landscape of advanced melanoma has changed significantly following,QA_ANSWER
What are the major clinical Villefranche criteria for classic Ehlers-Danlos syndrome?,"The major clinical Villefranche criteria for classic Ehlers-Danlos syndrome are skin hyperextensibility, dystrophic scarring, and joint hypermobility.",bioasq_132,What are the major clinical Villefranche criteria for classic Ehlers-Danlos syndrome?,The major clinical Villefranche criteria for classic Ehlers-Danlos syndrome are ,QA_ANSWER
Is APOBEC3B protein predominantly cytoplasmic or nuclear?,"Contrary to other APOBEC family members, APOBEC3B was found to predominantly concentrate to the cell nucleus.",bioasq_133,Is APOBEC3B protein predominantly cytoplasmic or nuclear?,"Contrary to other APOBEC family members, APOBEC3B was found to predominantly con",QA_ANSWER
Is CD84 genetically associated with arthritis?,"Three members of this gene family, Ly108, Ly9, and CD84, exhibit polymorphisms that strongly influence susceptibility to systemic autoimmunity, notably in mice, but also in some human populations. Our",bioasq_134,Is CD84 genetically associated with arthritis?,"Three members of this gene family, Ly108, Ly9, and CD84, exhibit polymorphisms t",QA_ANSWER
Does Curare function by stimulating the acetylcholine receptor?,No. Curare function does not stimulate the acetylcholine receptor.,bioasq_135,Does Curare function by stimulating the acetylcholine receptor?,No. Curare function does not stimulate the acetylcholine receptor.,QA_ANSWER
"What is the phenomenon described as ""complex coacervation""?","Here, we demonstrate that charge-mediated phase separation, or complex coacervation, of RNAs with cationic peptides can generate simple model liquid organelles capable of reversibly compartmentalizing",bioasq_136,"What is the phenomenon described as ""complex coacervation""?","Here, we demonstrate that charge-mediated phase separation, or complex coacervat",QA_ANSWER
What are the SINEUPs?,SINEUPs represent a new class of natural and synthetic antisense long non-coding RNAs that activate translation. These molecules have been named SINEUPs since their function requires the activity of a,bioasq_137,What are the SINEUPs?,SINEUPs represent a new class of natural and synthetic antisense long non-coding,QA_ANSWER
Does an interferon (IFN) signature exist for SLE patients?,"Interferon type I (IFN-I) plays a pivotal role in the pathogenesis of SLE. An IFN-I score (positive or negative), as a measure of IFN-I activation, is assessed using the expression values of IFN-I sig",bioasq_138,Does an interferon (IFN) signature exist for SLE patients?,Interferon type I (IFN-I) plays a pivotal role in the pathogenesis of SLE. An IF,QA_ANSWER
Which genomic positions are preferentially selected for transposon insertion?,"Preferential integration occurs in non-coding DNA and heterochromatin. A preference for structural features in the target DNA associated with DNA flexibility (Twist, Tilt, Rise, Roll, Shift, and Slide",bioasq_139,Which genomic positions are preferentially selected for transposon insertion?,Preferential integration occurs in non-coding DNA and heterochromatin. A prefere,QA_ANSWER
Are high-flow nasal cannulae effective for treatment of preterm infants?,Yes. The use of high-flow nasal cannulae is an increasingly popular alternative to nasal continuous positive airway pressure for noninvasive respiratory support of preterm infants after extubation. Ho,bioasq_140,Are high-flow nasal cannulae effective for treatment of preterm infants?,Yes. The use of high-flow nasal cannulae is an increasingly popular alternative ,QA_ANSWER
How homoplasy affects phylogenetic reconstruction?,"Evolutionary processes create both newly derived characteristics shared by related descendant lineages (homology) and ""false"" similarities which confound phylogenetic reconstruction (homoplasy). Homol",bioasq_141,How homoplasy affects phylogenetic reconstruction?,Evolutionary processes create both newly derived characteristics shared by relat,QA_ANSWER
Which company produces Keytruda?,"Keytruda is produced by Merck & Co., Inc..",bioasq_142,Which company produces Keytruda?,"Keytruda is produced by Merck & Co., Inc..",QA_ANSWER
"In clinical trials, the H3 R antagonist CEP-26401 has a positive effect on cognition, yes or no?",The H3 R antagonist CEP-26401 had an effect on cognition.,bioasq_143,"In clinical trials, the H3 R antagonist CEP-26401 has a positive effect on cognition, yes or no?",The H3 R antagonist CEP-26401 had an effect on cognition.,QA_ANSWER
Where is the protein slitrk1 localized?,Slitrk1 is enriched in postsynaptic fractions and is localized to excitatory synapses. ,bioasq_144,Where is the protein slitrk1 localized?,Slitrk1 is enriched in postsynaptic fractions and is localized to excitatory syn,QA_ANSWER
Which clotting factor is in the Andexxa?,Andexxa(r) is a first-in-class recombinant modified factor Xa protein. It is available to reverse life-threatening or uncontrolled bleeding with the factor Xa inhibitors apixaban and rivaroxaban.,bioasq_145,Which clotting factor is in the Andexxa?,Andexxa(r) is a first-in-class recombinant modified factor Xa protein. It is ava,QA_ANSWER
Which mutated gene causes the Chédiak-Higashi Syndrome?,Mutation in the lysosomal trafficking regulator (LYST) gene causes the Chédiak-Higashi syndrome (CHS).,bioasq_146,Which mutated gene causes the Chédiak-Higashi Syndrome?,Mutation in the lysosomal trafficking regulator (LYST) gene causes the Chédiak-H,QA_ANSWER
The 1p19q co-deletion is associated with what types of tumors?,"The 1p19q co-deletion is associated with oligodendrogliomas, fibrillary astrocytomas, and some glioblastomas. It is a hallmark of oligodendroglioma and is associated with better survival in diffuse gl",bioasq_147,The 1p19q co-deletion is associated with what types of tumors?,"The 1p19q co-deletion is associated with oligodendrogliomas, fibrillary astrocyt",QA_ANSWER
What is the role of TAD protein domain?,TAD domain is a transcription activation domain found in transcription factors.,bioasq_148,What is the role of TAD protein domain?,TAD domain is a transcription activation domain found in transcription factors.,QA_ANSWER
What are the functions of sorting nexin 27?,Sorting nexin 27 (SNX27) regulates endocytic sorting/recycling and intracellular trafficking of ion channels and receptors.,bioasq_149,What are the functions of sorting nexin 27?,Sorting nexin 27 (SNX27) regulates endocytic sorting/recycling and intracellular,QA_ANSWER
