instance_id,question,mention_context,gold_mention,gold_cui
squad_106,What did Houghton say is necessary for any changes to the SPM?,"What did Houghton say is necessary for any changes to the SPM? IPCC author Richard Lindzen has made a number of criticisms of the TAR. Among his criticisms, Lindzen has stated that the WGI Summary for Policymakers (SPM) does not faithfully summarize the full WGI ",scientific evidence,QA_ANSWER
squad_107,Who killed Harold II? ,"Who killed Harold II?  In 1066, Duke William II of Normandy conquered England killing King Harold II at the Battle of Hastings. The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of Eng",William II,QA_ANSWER
squad_108,In which two codes were the roles of pharmacists codified?,"In which two codes were the roles of pharmacists codified? In Japan, at the end of the Asuka period (538–710) and the early Nara period (710–794), the men who fulfilled roles similar to those of modern pharmacists were highly respected. The place of pharmacis",the Taihō Code (701) and re-stated in the Yōrō Code (718),QA_ANSWER
squad_109,When was the scale to measure the Rhine introduced? ,"When was the scale to measure the Rhine introduced?  The length of the Rhine is conventionally measured in ""Rhine-kilometers"" (Rheinkilometer), a scale introduced in 1939 which runs from the Old Rhine Bridge at Constance (0 km) to Hoek van Holland (1036",1939,QA_ANSWER
squad_110,What happens after the lead melts?,"What happens after the lead melts? Lead fusible plugs may be present in the crown of the boiler's firebox. If the water level drops, such that the temperature of the firebox crown increases significantly, the lead melts and the steam e",steam escapes,QA_ANSWER
squad_111,What Egyptian president jailed thousands of members of the Brotherhood?,"What Egyptian president jailed thousands of members of the Brotherhood? Some elements of the Brotherhood, though perhaps against orders, did engage in violence against the government, and its founder Al-Banna was assassinated in 1949 in retaliation for the assassination o",Gamal Abdul Nasser,QA_ANSWER
squad_112,Why might rats not be responsible for the plague?,"Why might rats not be responsible for the plague? In addition to arguing that the rat population was insufficient to account for a bubonic plague pandemic, sceptics of the bubonic plague theory point out that the symptoms of the Black Death are not u",the rat population was insufficient,QA_ANSWER
squad_113,What does the minister who was the catalyst of the Members Business do by speaking after everyone else?,"What does the minister who was the catalyst of the Members Business do by speaking after everyone else? Immediately after Decision Time a ""Members Debate"" is held, which lasts for 45 minutes. Members Business is a debate on a motion proposed by an MSP who is not a Scottish minister. Such motions are on ",winds up,QA_ANSWER
squad_114,What legitimate dynasty came after the Yuan?,"What legitimate dynasty came after the Yuan? The Yuan dynasty was the first time that non-native Chinese people ruled all of China. In the historiography of Mongolia, it is generally considered to be the continuation of the Mongol Empire. Mongol",Ming,QA_ANSWER
squad_115,Who ordered Loudoun to attack Louisbourg?,"Who ordered Loudoun to attack Louisbourg? Loudoun, a capable administrator but a cautious field commander, planned one major operation for 1757: an attack on New France's capital, Quebec. Leaving a sizable force at Fort William Henry to distr",William Pitt,QA_ANSWER
squad_116,Rock units become thicker and shorten when placed under this type of compression. ,"Rock units become thicker and shorten when placed under this type of compression.  When rock units are placed under horizontal compression, they shorten and become thicker. Because rock units, other than muds, do not significantly change in volume, this is accomplished in two primar",horizontal compression,QA_ANSWER
squad_117,Who had no real military power during the Yuan?,"Who had no real military power during the Yuan? While the existence of these central government departments and the Six Ministries (which had been introduced since the Sui and Tang dynasties) gave a Sinicized image in the Yuan administration, the a",the Ministry of War,QA_ANSWER
squad_118,What is it called when there is an active attempt to overthrow a government or belief system?,"What is it called when there is an active attempt to overthrow a government or belief system? Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffectiv",Revolutionary civil disobedience,QA_ANSWER
squad_119,Who discovered pottery found on Black Hammock Island?,"Who discovered pottery found on Black Hammock Island? The area of the modern city of Jacksonville has been inhabited for thousands of years. On Black Hammock Island in the national Timucuan Ecological and Historic Preserve, a University of North Florida ",a University of North Florida team,QA_ANSWER
squad_120,What denomination is associated with Saint Kentigern College?,"What denomination is associated with Saint Kentigern College? Private schools are often Anglican, such as King's College and Diocesan School for Girls in Auckland, St Paul's Collegiate School in Hamilton, St Peter's School in Cambridge, Samuel Marsden Collegiate",Presbyterian,QA_ANSWER
squad_121,What term is shorthand for antibody generators?,"What term is shorthand for antibody generators? Both innate and adaptive immunity depend on the ability of the immune system to distinguish between self and non-self molecules. In immunology, self molecules are those components of an organism's bod",antigens,QA_ANSWER
squad_122,Secular Arab nationalism was blamed for both the defeat of Arab troops as well as what type of stagnation?,Secular Arab nationalism was blamed for both the defeat of Arab troops as well as what type of stagnation? The quick and decisive defeat of the Arab troops during the Six-Day War by Israeli troops constituted a pivotal event in the Arab Muslim world. The defeat along with economic stagnation in the defeate,economic,QA_ANSWER
squad_123,What present day county is New Rochelle in?,"What present day county is New Rochelle in? New Rochelle, located in the county of Westchester on the north shore of Long Island Sound, seemed to be the great location of the Huguenots in New York. It is said that they landed on the coastline p",Westchester,QA_ANSWER
squad_124,In what year did Warszowa become the official capital of the Masovian Duchy?,"In what year did Warszowa become the official capital of the Masovian Duchy? The first fortified settlements on the site of today's Warsaw were located in Bródno (9th/10th century) and Jazdów (12th/13th century). After Jazdów was raided by nearby clans and dukes, a new similar",1413,QA_ANSWER
squad_125,What was the pedestrian mall renamed?,"What was the pedestrian mall renamed? Fulton Street in Downtown Fresno was Fresno's main financial and commercial district before being converted into one of the nation's first pedestrian malls in 1964. Renamed the Fulton Mall, the area c",Fulton Mall,QA_ANSWER
squad_126,When did Zhu Shijie die?,When did Zhu Shijie die? Advances in polynomial algebra were made by mathematicians during the Yuan era. The mathematician Zhu Shijie (1249–1314) solved simultaneous equations with up to four unknowns using a rectangular arra,1314,QA_ANSWER
squad_127,What are the components of drug therapy?,"What are the components of drug therapy? The clinical pharmacist's role involves creating a comprehensive drug therapy plan for patient-specific problems, identifying goals of therapy, and reviewing all prescribed medications prior to dispen","drug choice, dose, route, frequency, and duration of therapy",QA_ANSWER
squad_128,Who started the Yuan dynasty?,"Who started the Yuan dynasty? The Yuan dynasty (Chinese: 元朝; pinyin: Yuán Cháo), officially the Great Yuan (Chinese: 大元; pinyin: Dà Yuán; Mongolian: Yehe Yuan Ulus[a]), was the empire or ruling dynasty of China established by Kubl",Kublai Khan,QA_ANSWER
squad_129,What issues do member states say the Court of Justice does not have the final say on?,"What issues do member states say the Court of Justice does not have the final say on? Generally speaking, while all member states recognise that EU law takes primacy over national law where this agreed in the Treaties, they do not accept that the Court of Justice has the final say on f",foundational constitutional questions affecting democracy and human rights,QA_ANSWER
squad_130,"While producing oxygen, what gas does a zeolite sieve absorb?","While producing oxygen, what gas does a zeolite sieve absorb? The other major method of producing O
2 gas involves passing a stream of clean, dry air through one bed of a pair of identical zeolite molecular sieves, which absorbs the nitrogen and delivers a gas s",nitrogen,QA_ANSWER
squad_131,When did Menich serve as President?,"When did Menich serve as President? The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was presiden",1695–1696,QA_ANSWER
squad_132,What do clinical pharmacists specialize in?,"What do clinical pharmacists specialize in? Because of the complexity of medications including specific indications, effectiveness of treatment regimens, safety of medications (i.e., drug interactions) and patient compliance issues (in the hosp",various disciplines of pharmacy,QA_ANSWER
squad_133,Who was made Governor of Samarqand?,"Who was made Governor of Samarqand? At the same time the Mongols imported Central Asian Muslims to serve as administrators in China, the Mongols also sent Han Chinese and Khitans from China to serve as administrators over the Muslim pop",a Qara-Khitay (Khitan,QA_ANSWER
squad_134,Is the output of a functional problem typically characterized by a simple or complex answer?,"Is the output of a functional problem typically characterized by a simple or complex answer? A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't",complex,QA_ANSWER
squad_135,"During glacial times, where was the mouth of the Rhine located?","During glacial times, where was the mouth of the Rhine located? Around 2.5 million years ago (ending 11,600 years ago) was the geological period of the Ice Ages. Since approximately 600,000 years ago, six major Ice Ages have occurred, in which sea level dropped 12",Brest,QA_ANSWER
squad_136,In what year did the Amazon experience a drought that may have been more extreme than in 2005?,"In what year did the Amazon experience a drought that may have been more extreme than in 2005? In 2010 the Amazon rainforest experienced another severe drought, in some ways more extreme than the 2005 drought. The affected region was approximate 1,160,000 square miles (3,000,000 km2) of rainfor",2010,QA_ANSWER
squad_137,"If q=9 and a=3,6 or 9, how many primes would be in the progression?","If q=9 and a=3,6 or 9, how many primes would be in the progression? can have infinitely many primes only when a and q are coprime, i.e., their greatest common divisor is one. If this necessary condition is satisfied, Dirichlet's theorem on arithmetic progressions asse",at most one prime number,QA_ANSWER
squad_138,King Sigimund's Column is an example of what kind of attraction in Warsaw?,"King Sigimund's Column is an example of what kind of attraction in Warsaw? The city is the seat of a Roman Catholic archdiocese (left bank of the Vistula) and diocese (right bank), and possesses various universities, most notably the Polish Academy of Sciences and the Univer",architectural,QA_ANSWER
squad_139,What is the average width of the Rhine?,"What is the average width of the Rhine? The Rhine is the longest river in Germany. It is here that the Rhine encounters some more of its main tributaries, such as the Neckar, the Main and, later, the Moselle, which contributes an average di","400 m (1,300 ft).",QA_ANSWER
squad_140,On what date did the first railway trip in the world occur?,"On what date did the first railway trip in the world occur? The first full-scale working railway steam locomotive was built by Richard Trevithick in the United Kingdom and, on 21 February 1804, the world's first railway journey took place as Trevithick's unnam",21 February 1804,QA_ANSWER
squad_141,What is the lower canal regulation of the Rhine?,"What is the lower canal regulation of the Rhine? A regulation of the Rhine was called for, with an upper canal near Diepoldsau and a lower canal at Fußach, in order to counteract the constant flooding and strong sedimentation in the western Rhine De",Fußach,QA_ANSWER
squad_142,What causes Pauli repulsion?,"What causes Pauli repulsion? The normal force is due to repulsive forces of interaction between atoms at close contact. When their electron clouds overlap, Pauli repulsion (due to fermionic nature of electrons) follows resulting ",fermionic nature of electrons,QA_ANSWER
squad_143,What was the Chinese name for the Central Secretariat?,"What was the Chinese name for the Central Secretariat? The Central Region, consisting of present-day Hebei, Shandong, Shanxi, the south-eastern part of present-day Inner Mongolia and the Henan areas to the north of the Yellow River, was considered the mos",Zhongshu Sheng,QA_ANSWER
squad_144,What are the three construction subsectors?,What are the three construction subsectors? The Standard Industrial Classification and the newer North American Industry Classification System have a classification system for companies that perform or otherwise engage in construction. To recog,"building construction, heavy and civil engineering construction, and specialty trade contractors",QA_ANSWER
squad_145,The price of oil is usually a stable commodity until when?,"The price of oil is usually a stable commodity until when? This contributed to the ""Oil Shock"". After 1971, OPEC was slow to readjust prices to reflect this depreciation. From 1947 to 1967, the dollar price of oil had risen by less than two percent per year. ",Until the oil shock,QA_ANSWER
squad_146,What was the Chinese name of Gou's calendar?,What was the Chinese name of Gou's calendar? Guo Shoujing applied mathematics to the construction of calendars. He was one of the first mathematicians in China to work on spherical trigonometry. Gou derived a cubic interpolation formula for his ,Shoushi Li,QA_ANSWER
squad_147,Who stated a change of the length of the Rhine?,"Who stated a change of the length of the Rhine? Until 1932 the generally accepted length of the Rhine was 1,230 kilometres (764 miles). In 1932 the German encyclopedia Knaurs Lexikon stated the length as 1,320 kilometres (820 miles), presumably a t",Knaurs Lexikon,QA_ANSWER
squad_148,What naval battles did France lose in 1759?,"What naval battles did France lose in 1759? In the aftermath of generally poor French results in most theaters of the Seven Years' War in 1758, France's new foreign minister, the duc de Choiseul, decided to focus on an invasion of Britain, to d",Lagos and Quiberon Bay.,QA_ANSWER
squad_149,Where do scientists think all of the plagues originated from?,"Where do scientists think all of the plagues originated from? The plague disease, caused by Yersinia pestis, is enzootic (commonly present) in populations of fleas carried by ground rodents, including marmots, in various areas including Central Asia, Kurdistan, ",China,QA_ANSWER
squad_150,What is the name of the TV scrambling system BSkyB uses?,"What is the name of the TV scrambling system BSkyB uses? BSkyB utilises the VideoGuard pay-TV scrambling system owned by NDS, a Cisco Systems company. There are tight controls over use of VideoGuard decoders; they are not available as stand-alone DVB CAMs (",VideoGuard,QA_ANSWER
squad_151,How many full time teachers does Victoria have?,"How many full time teachers does Victoria have? As of August 2010, Victoria had 1,548 public schools, 489 Catholic schools and 214 independent schools. Just under 540,800 students were enrolled in public schools, and just over 311,800 in private sc","63,519",QA_ANSWER
squad_152,What was Old Briton's response to Celeron?,"What was Old Briton's response to Celeron? When Céloron's expedition arrived at Logstown, the Native Americans in the area informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French. C",ignored the warning.,QA_ANSWER
squad_153,"According to reduction, if X and Y can be solved by the same algorithm then X performs what function in relationship to Y?","According to reduction, if X and Y can be solved by the same algorithm then X performs what function in relationship to Y? Many complexity classes are defined using the concept of a reduction. A reduction is a transformation of one problem into another problem. It captures the informal notion of a problem being at least a",reduces,QA_ANSWER
squad_154,On what theorem is the formula that frequently generates the number 2 and all other primes precisely once based on?,"On what theorem is the formula that frequently generates the number 2 and all other primes precisely once based on? are prime for any natural number n. Here  represents the floor function, i.e., largest integer not greater than the number in question. The latter formula can be shown using Bertrand's postulate (prov",Wilson's theorem,QA_ANSWER
squad_155,How much percentage of Victoria's land is taken up by farms?,"How much percentage of Victoria's land is taken up by farms? During 2003–04, the gross value of Victorian agricultural production increased by 17% to $8.7 billion. This represented 24% of national agricultural production total gross value. As of 2004, an estima",60%,QA_ANSWER
squad_156,What did the Zuider Zee brackish lagoon change into?,"What did the Zuider Zee brackish lagoon change into? At present, the branches Waal and Nederrijn-Lek discharge to the North Sea, through the former Meuse estuary, near Rotterdam. The river IJssel branch flows to the north and enters the IJsselmeer, form",freshwater lake,QA_ANSWER
squad_157,What is preserved in a closed system of forces when acted upon?,"What is preserved in a closed system of forces when acted upon? A conservative force that acts on a closed system has an associated mechanical work that allows energy to convert only between kinetic or potential forms. This means that for a closed system, the net ",net mechanical energy,QA_ANSWER
squad_158,How many members can voters choose to represent the constituency? ,"How many members can voters choose to represent the constituency?  Of the 129 MSPs, 73 are elected to represent first past the post constituencies and are known as ""Constituency MSPs"". Voters choose one member to represent the constituency, and the member with most v",one,QA_ANSWER
squad_159,What are private schools that charge no tuition called?,"What are private schools that charge no tuition called? In the United Kingdom and several other Commonwealth countries including Australia and Canada, the use of the term is generally restricted to primary and secondary educational levels; it is almost nev",'tuition-free,QA_ANSWER
squad_160,What happened with the rate of flow in the Rhine with the straightening program?,What happened with the rate of flow in the Rhine with the straightening program? The Upper Rhine region was changed significantly by a Rhine straightening program in the 19th Century. The rate of flow was increased and the ground water level fell significantly. Dead branches dried,increased,QA_ANSWER
squad_161,There are direct contractual links between who?,"There are direct contractual links between who? This is the most common method of construction procurement and is well established and recognized. In this arrangement, the architect or engineer acts as the project coordinator. His or her role is to",the architect's client and the main contractor,QA_ANSWER
squad_162,"Other than the Ijssel, where does the water from the Pannerdens Kanaal redsitrubute?","Other than the Ijssel, where does the water from the Pannerdens Kanaal redsitrubute? The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn. The IJssel branch carries one ninth of the water flow of the Rhine north into the IJssel",Nederrijn,QA_ANSWER
squad_163,What type of civil disobedience is commonly accepted?,What type of civil disobedience is commonly accepted? There have been debates as to whether civil disobedience must necessarily be non-violent. Black's Law Dictionary includes non-violence in its definition of civil disobedience. Christian Bay's encyclop,non-violent,QA_ANSWER
squad_164,When was he elected by Nixon?,"When was he elected by Nixon? In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the s",In 1973,QA_ANSWER
squad_165,What is Warsaw's economy characterized by?,What is Warsaw's economy characterized by? In 2012 the Economist Intelligence Unit ranked Warsaw as the 32nd most liveable city in the world. It was also ranked as one of the most liveable cities in Central Europe. Today Warsaw is considered a,wide variety of industries,QA_ANSWER
squad_166,What was the name of the stadium that the teams played in?,"What was the name of the stadium that the teams played in? From 2005 to 2014, there were two Major League Soccer teams in Los Angeles - the LA Galaxy and Chivas USA - that both played at the StubHub Center and were local rivals. However, Chivas were suspended",StubHub Center,QA_ANSWER
squad_167,"In China, this person inferred that the land was formed by erosion of the mountains and by silt deposition, what was his name?","In China, this person inferred that the land was formed by erosion of the mountains and by silt deposition, what was his name? Some modern scholars, such as Fielding H. Garrison, are of the opinion that the origin of the science of geology can be traced to Persia after the Muslim conquests had come to an end. Abu al-Rayhan al",Shen Kuo,QA_ANSWER
squad_168,Who formed the universal theory of gravitation?,"Who formed the universal theory of gravitation? The development of fundamental theories for forces proceeded along the lines of unification of disparate ideas. For example, Isaac Newton unified the force responsible for objects falling at the surfa",Isaac Newton,QA_ANSWER
squad_169,"In order to be considered in the top percentile, a person would need to amass how much money each year?","In order to be considered in the top percentile, a person would need to amass how much money each year? A study by the World Institute for Development Economics Research at United Nations University reports that the richest 1% of adults alone owned 40% of global assets in the year 2000. The three riches","$759,900",QA_ANSWER
squad_170,What entities are included in the federal health care system?,"What entities are included in the federal health care system? In the U.S. federal health care system (including the VA, the Indian Health Service, and NIH) ambulatory care pharmacists are given full independent prescribing authority. In some states such North Ca","the VA, the Indian Health Service, and NIH",QA_ANSWER
squad_171,What was a similar view about the Asian continent called?,"What was a similar view about the Asian continent called? According to geographic scholars under colonizing empires, the world could be split into climatic zones. These scholars believed that Northern Europe and the Mid-Atlantic temperate climate produced a ",orientalism,QA_ANSWER
squad_172,Setting speed limits was one of the further devolutions which was conferred by what act?,Setting speed limits was one of the further devolutions which was conferred by what act? The specific devolved matters are all subjects which are not explicitly stated in Schedule 5 to the Scotland Act as reserved matters. All matters that are not specifically reserved are automatically d,2012 Act,QA_ANSWER
squad_173,What kind of force does not exist under Newton's third law?,What kind of force does not exist under Newton's third law? Newton's Third Law is a result of applying symmetry to situations where forces can be attributed to the presence of different objects. The third law means that all forces are interactions between diff,unidirectional,QA_ANSWER
squad_174,What issue has been plaguing the civil disobedience movement.,"What issue has been plaguing the civil disobedience movement. It has been argued that the term ""civil disobedience"" has always suffered from ambiguity and in modern times, become utterly debased. Marshall Cohen notes, ""It has been used to describe everything fro",ambiguity,QA_ANSWER
squad_175,What is the other country the Rhine separates Switzerland to? ,"What is the other country the Rhine separates Switzerland to?  Near Tamins-Reichenau the Anterior Rhine and the Posterior Rhine join and form the Rhine. The river makes a distinctive turn to the north near Chur. This section is nearly 86 km long, and descends fro",Austria,QA_ANSWER
squad_176,"Other than the San Diego metropolitan area, what other area are the communities along Interstates 15 and 215 connected with?","Other than the San Diego metropolitan area, what other area are the communities along Interstates 15 and 215 connected with? Traveling south on Interstate 5, the main gap to continued urbanization is Camp Pendleton. The cities and communities along Interstate 15 and Interstate 215 are so inter-related that Temecula and Murr",Inland Empire,QA_ANSWER
squad_177,What impact does higher worker productivity and leveled pay have on higher earners?,"What impact does higher worker productivity and leveled pay have on higher earners? In Marxian analysis, capitalist firms increasingly substitute capital equipment for labor inputs (workers) under competitive pressure to reduce costs and maximize profits. Over the long-term, this tre",rising levels of property income,QA_ANSWER
squad_178,For how long did Huguenots continue to use French names?,For how long did Huguenots continue to use French names? Most of the Huguenot congregations (or individuals) in North America eventually affiliated with other Protestant denominations with more numerous members. The Huguenots adapted quickly and often marri,into the nineteenth century,QA_ANSWER
squad_179,High pressure steam engines were small enough that they could be used in what application?,"High pressure steam engines were small enough that they could be used in what application? Around 1800 Richard Trevithick and, separately, Oliver Evans in 1801 introduced engines using high-pressure steam; Trevithick obtained his high-pressure engine patent in 1802. These were much more pow",transport,QA_ANSWER
squad_180,Which areas were least vulnerable to disease?,"Which areas were least vulnerable to disease? The most widely accepted estimate for the Middle East, including Iraq, Iran and Syria, during this time, is for a death rate of about a third. The Black Death killed about 40% of Egypt's population. H",most isolated areas,QA_ANSWER
squad_181,What type of treatment are pharmacists important for?,What type of treatment are pharmacists important for? Pharmacists are healthcare professionals with specialised education and training who perform various roles to ensure optimal health outcomes for their patients through the quality use of medicines. Ph,optimisation of a drug treatment for an individual,QA_ANSWER
squad_182,Where in South Carolina did Huguenot nobility settle?,"Where in South Carolina did Huguenot nobility settle? In the early years, many Huguenots also settled in the area of present-day Charleston, South Carolina. In 1685, Rev. Elie Prioleau from the town of Pons in France, was among the first to settle there.",the Charleston Orange district,QA_ANSWER
squad_183,"What is the complex ""two-signal"" activation of T cells referred to?","What is the complex ""two-signal"" activation of T cells referred to? In the mid-1950s, Frank Burnet, inspired by a suggestion made by Niels Jerne, formulated the clonal selection theory (CST) of immunity. On the basis of CST, Burnet developed a theory of how an immune ",histocompatibility,QA_ANSWER
squad_184,What anthropologists are also university alumni members?,"What anthropologists are also university alumni members? Other prominent alumni include anthropologists David Graeber and Donald Johanson, who is best known for discovering the fossil of a female hominid australopithecine known as ""Lucy"" in the Afar Triangl",David Graeber and Donald Johanson,QA_ANSWER
squad_185,Where do juvenile platyctenids live?,"Where do juvenile platyctenids live? Development of the fertilized eggs is direct, in other words there is no distinctive larval form, and juveniles of all groups generally resemble miniature cydippid adults. In the genus Beroe the juven",among the plankton,QA_ANSWER
squad_186,How many research centers does the university run on campus?,How many research centers does the university run on campus? The university operates 12 research institutes and 113 research centers on campus. Among these are the Oriental Institute-a museum and research center for Near Eastern studies owned and operated by th,113,QA_ANSWER
squad_187,MHC antigens on normal body cells are recognized by what receptor on NK cells?,"MHC antigens on normal body cells are recognized by what receptor on NK cells? Natural killer cells, or NK cells, are a component of the innate immune system which does not directly attack invading microbes. Rather, NK cells destroy compromised host cells, such as tumor cells or",killer cell immunoglobulin receptors (KIR,QA_ANSWER
squad_188,How much Saharan dust remains in the air over the Amazon each year?,"How much Saharan dust remains in the air over the Amazon each year? NASA's CALIPSO satellite has measured the amount of dust transported by wind from the Sahara to the Amazon: an average 182 million tons of dust are windblown out of the Sahara each year, at 15 degrees",132 million tons,QA_ANSWER
squad_189,"Besides constant flooding, why else was there regulation of the Rhine?","Besides constant flooding, why else was there regulation of the Rhine? A regulation of the Rhine was called for, with an upper canal near Diepoldsau and a lower canal at Fußach, in order to counteract the constant flooding and strong sedimentation in the western Rhine De",strong sedimentation,QA_ANSWER
squad_190,What kinds of trees is Kearney Boulevard lined with?,"What kinds of trees is Kearney Boulevard lined with? The neighborhood includes Kearney Boulevard, named after early 20th century entrepreneur and millionaire M. Theo Kearney, which extends from Fresno Street in Southwest Fresno about 20 mi (32 km) west ",tall palm trees,QA_ANSWER
squad_191,What conjecture holds that there is an infinite amount of twin primes?,"What conjecture holds that there is an infinite amount of twin primes? A third type of conjectures concerns aspects of the distribution of primes. It is conjectured that there are infinitely many twin primes, pairs of primes with difference 2 (twin prime conjecture). Pol",twin prime conjecture,QA_ANSWER
squad_192,WHat were features of Apple Talk ,WHat were features of Apple Talk  AppleTalk was a proprietary suite of networking protocols developed by Apple Inc. in 1985 for Apple Macintosh computers. It was the primary protocol used by Apple devices through the 1980s and 90s. Ap,that allowed local area networks to be established ad hoc without the requirement for a centralized router or server,QA_ANSWER
squad_193,What are committees in the Scottish Parliament compared to other systems?,"What are committees in the Scottish Parliament compared to other systems? Much of the work of the Scottish Parliament is done in committee. The role of committees is stronger in the Scottish Parliament than in other parliamentary systems, partly as a means of strengthening ",stronger,QA_ANSWER
squad_194,"Other than warships, what ships typically required high speeds?","Other than warships, what ships typically required high speeds? Land-based steam engines could exhaust much of their steam, as feed water was usually readily available. Prior to and during World War I, the expansion engine dominated marine applications where high ",ocean liners,QA_ANSWER
squad_195,What topic do private bills typically have?,What topic do private bills typically have? A further type of committee is normally set up to scrutinise private bills submitted to the Scottish Parliament by an outside party or promoter who is not a member of the Scottish Parliament or Scotti,large-scale development projects,QA_ANSWER
squad_196,"When extensive time is required to sort integers, this represents what case complexity?","When extensive time is required to sort integers, this represents what case complexity? For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sor",worst-case,QA_ANSWER
squad_197,What alumni is also the Governor of the Bank of Japan?,"What alumni is also the Governor of the Bank of Japan? Notable alumni in the field of government and politics include the founder of modern community organizing Saul Alinsky, Obama campaign advisor and top political advisor to President Bill Clinton David",Masaaki Shirakawa,QA_ANSWER
squad_198,A mermaid stopped to rest on the sandy beach by what village?,"A mermaid stopped to rest on the sandy beach by what village? The origin of the legendary figure is not fully known. The best-known legend, by Artur Oppman, is that long ago two of Triton's daughters set out on a journey through the depths of the oceans and seas",Warszowa,QA_ANSWER
squad_199,What was a non-religious reason for the massacre?,What was a non-religious reason for the massacre? The Catholic Church in France and many of its members opposed the Huguenots. Some Huguenot preachers and congregants were attacked as they attempted to meet for worship. The height of this persecution,some of the Huguenots were nobles trying to establish separate centers of power in southern France,QA_ANSWER
