candidate_text,candidate_label,source_mention,linker_score
population,UMLS:C1257890||population,population,1.0
Rains,C0034640||Rains,brains,0.7519207000732422
brains,UMLS:C0006104||brains,brains,1.0
GC/IRMS,UMLS:C0024868||GC/IRMS,GC/IRMS,1.0
Mutations,C0026882||Mutations,mutations,0.9797462821006775
Gain of Function Mutation,C4505109||Gain of Function Mutation,mutations,0.8146849274635315
"Mutations, Deletion","C1511760||Mutations, Deletion",mutations,0.8019609451293945
Insertion Mutation,C1512796||Insertion Mutation,mutations,0.7737244963645935
INDEL Mutation,C1956002||INDEL Mutation,mutations,0.763573408126831
mutations,UMLS:C0596611||mutations,mutations,1.0
EBFST,UMLS:C1705273||EBFST,EBFST,1.0
Inflammations,C0021368||Inflammations,inflammation,0.9800276756286621
Osteitis,C0029400||Osteitis,inflammation,0.8718767166137695
Ear Inflammation,C0029877||Ear Inflammation,inflammation,0.845373272895813
Brain Inflammation,C0014038||Brain Inflammation,inflammation,0.8237006068229675
Pulmonary Inflammation,C3714636||Pulmonary Inflammation,inflammation,0.7948507070541382
inflammation,UMLS:C0021368||inflammation,inflammation,1.0
Classic Apoptoses,C0162638||Classic Apoptoses,apoptosis,0.9803731441497803
Exophthalmos,C0015300||Exophthalmos,apoptosis,0.7336620688438416
Anastasis,C1512772||Anastasis,apoptosis,0.7018066048622131
apoptosis,UMLS:C0162638||apoptosis,apoptosis,1.0
Parasites,C0030498||Parasites,parasite's,0.8008927702903748
parasite's,UMLS:C0030498||parasite's,parasite's,1.0
Donor,C0013018||Donor,donors,0.9985302686691284
"Donors, Organ","C0029206||Donors, Organ",donors,0.72499680519104
Living Donors,C0348050||Living Donors,donors,0.703026533126831
donors,UMLS:C0013018||donors,donors,1.0
satisfied,UMLS:C0242428||satisfied,satisfied,1.0
"Magnetic Resonance Imaging, Cine","C0282596||Magnetic Resonance Imaging, Cine",MRI,0.8375401496887207
"Scan, MRI","C0917711||Scan, MRI",MRI,0.7830029726028442
Fluorine-19 Magnetic Resonance Imaging,C3850007||Fluorine-19 Magnetic Resonance Imaging,MRI,0.7182101607322693
MRI,UMLS:C0024485||MRI,MRI,1.0
FDA,UMLS:C0041714||FDA,FDA,1.0
UC,UMLS:C0009324||UC,UC,1.0
skull specimens,UMLS:C2584668||skull specimens,skull specimens,1.0
Parental Consent,C0600634||Parental Consent,parental knowledge,0.7552717328071594
Parental Death,C0524342||Parental Death,parental knowledge,0.7397258877754211
Parents,C0030551||Parents,parental knowledge,0.7185718417167664
Knowledge,C0376554||Knowledge,parental knowledge,0.9907342195510864
Knowledge Bases,C0022752||Knowledge Bases,parental knowledge,0.9231281876564026
Knowledge Management,C0687753||Knowledge Management,parental knowledge,0.8112568259239197
Knowledge Discovery,C5197924||Knowledge Discovery,parental knowledge,0.8072217702865601
Patient Medication Knowledge,C3494388||Patient Medication Knowledge,parental knowledge,0.8009594082832336
parental knowledge,UMLS:C1319152||parental knowledge,parental knowledge,1.0
offsite,UMLS:C3828730||offsite,offsite,1.0
Offenders,C0699726||Offenders,offenders,0.989672839641571
offenders,UMLS:C0699726||offenders,offenders,1.0
Quantitative Trait Loci,C0597336||Quantitative Trait Loci,quantitative trait locus,0.9801099896430969
"Quantitative Trait, Heritable","C0524868||Quantitative Trait, Heritable",quantitative trait locus,0.7088266015052795
quantitative trait locus,UMLS:C0597336||quantitative trait locus,quantitative trait locus,1.0
"Cancers, Hepatic","C0345904||Cancers, Hepatic",hepatocellular damage,0.718093752861023
hepatocellular damage,UMLS:C0151763||hepatocellular damage,hepatocellular damage,1.0
"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) protein, human","C1370369||nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) protein, human",NR3C1,0.8892419934272766
NR3C1,UMLS:C1370369||NR3C1,NR3C1,1.0
local field potentials,UMLS:C2350339||local field potentials,local field potentials,1.0
Reading Disorders,C0476254||Reading Disorders,dyslexia,0.9763283729553223
"Dyslexia, Acquired","C0013388||Dyslexia, Acquired",dyslexia,0.7067998647689819
dyslexia,UMLS:C0476254||dyslexia,dyslexia,1.0
Healthy Volunteers,C1708335||Healthy Volunteers,participants,0.7873777151107788
participants,UMLS:C0679646||participants,participants,1.0
wash-out scans,UMLS:C0441633||wash-out scans,wash-out scans,1.0
US,UMLS:C0079891||US,US,1.0
Antioxidative Stress,C5392202||Antioxidative Stress,antioxidative,0.8063544631004333
antioxidative,UMLS:C0003402||antioxidative,antioxidative,1.0
rotigotine,C1700683||rotigotine,rotigotine,0.9544134140014648
rotigotine,UMLS:C1700683||rotigotine,rotigotine,1.0
"Sequences, DNA","C0162326||Sequences, DNA",DNA sequence,0.992293119430542
RNA Sequence,C0162327||RNA Sequence,DNA sequence,0.8137289881706238
DNA Sequence Analysis,C0162802||DNA Sequence Analysis,DNA sequence,0.8104311227798462
"Sequence Determination, DNA","C0917792||Sequence Determination, DNA",DNA sequence,0.7866977453231812
"Sequence, Base","C0004793||Sequence, Base",DNA sequence,0.7360695004463196
DNA sequence,UMLS:C0162326||DNA sequence,DNA sequence,1.0
"Tiiii[H, CH3, CH3]","UMLS:C1100347||Tiiii[H, CH3, CH3]","Tiiii[H, CH3, CH3]",1.0
STAG3 gene,UMLS:C1420450||STAG3 gene,STAG3 gene,1.0
11 trans Retinal,C0035331||11 trans Retinal,11-cis retinal,0.9902896881103516
Retinal Cone Photoreceptors,C0206428||Retinal Cone Photoreceptors,11-cis retinal,0.8279016613960266
"Breaks, Retinal","C0035321||Breaks, Retinal",11-cis retinal,0.7630814909934998
Retina,C0035298||Retina,11-cis retinal,0.7551437020301819
"Vein, Central Retinal","C0035327||Vein, Central Retinal",11-cis retinal,0.7417791485786438
11-cis retinal,UMLS:C0085717||11-cis retinal,11-cis retinal,1.0
Toll 4 Receptor,C1411976||Toll 4 Receptor,Toll-like receptor 4,0.9842231273651123
Toll-Like Receptors,C0670896||Toll-Like Receptors,Toll-like receptor 4,0.956974446773529
Toll-Like Receptor 1,C0971363||Toll-Like Receptor 1,Toll-like receptor 4,0.9302222728729248
"Receptor, TLR2","C0754728||Receptor, TLR2",Toll-like receptor 4,0.9265985488891602
Toll Like Receptor 3,C1534866||Toll Like Receptor 3,Toll-like receptor 4,0.9217528104782104
Toll-like receptor 4,UMLS:C1411976||Toll-like receptor 4,Toll-like receptor 4,1.0
Growth Factor,C0018284||Growth Factor,growth factors,0.9845872521400452
Growth Factors Receptors,C0206454||Growth Factors Receptors,growth factors,0.8679487109184265
"Factors, Nerve Growth","C0027754||Factors, Nerve Growth",growth factors,0.8297377228736877
EGF Family of Proteins,C3849998||EGF Family of Proteins,growth factors,0.7733181118965149
IL-2 Receptor,C0034819||IL-2 Receptor,growth factors,0.7635316848754883
growth factors,UMLS:C0018284||growth factors,growth factors,1.0
understanding,UMLS:C0162340||understanding,understanding,1.0
CAC,UMLS:C0882849||CAC,CAC,1.0
Lactobacillus casei,C0022940||Lactobacillus casei,Lactobacillus casei,0.9784955382347107
Lacticaseibacillus paracasei,C1080735||Lacticaseibacillus paracasei,Lactobacillus casei,0.8447138071060181
Lactobacillus,C0022938||Lactobacillus,Lactobacillus casei,0.839597225189209
Lactobacillus casei subsp. rhamnosus,C0317597||Lactobacillus casei subsp. rhamnosus,Lactobacillus casei,0.776546835899353
Lactobacillus oris,C0317650||Lactobacillus oris,Lactobacillus casei,0.735123872756958
Lactobacillus casei,UMLS:C0022940||Lactobacillus casei,Lactobacillus casei,1.0
"Gene Products, RNA","C0035668||Gene Products, RNA",RNA,0.9945630431175232
RNA,UMLS:C0035668||RNA,RNA,1.0
primary lesions,UMLS:C1402294||primary lesions,primary lesions,1.0
Whole Genome Sequencing,C3640076||Whole Genome Sequencing,whole-genome sequencing,0.8653828501701355
Whole Exome Sequencing,C3640077||Whole Exome Sequencing,whole-genome sequencing,0.7214652895927429
whole-genome sequencing,UMLS:C3640076||whole-genome sequencing,whole-genome sequencing,1.0
Hernia Repairs,C0019328||Hernia Repairs,groin hernia repair,0.8265607357025146
groin hernia repair,UMLS:C3514453||groin hernia repair,groin hernia repair,1.0
Gene Knockdown Techniques,C2350567||Gene Knockdown Techniques,knockdown,0.9339519143104553
knockdown,UMLS:C2350567||knockdown,knockdown,1.0
findings,C2607943||findings,findings,0.9804302453994751
Incidental Findings,C0743997||Incidental Findings,findings,0.7074097990989685
findings,UMLS:C0243095||findings,findings,1.0
Nested Transcripts,C1136156||Nested Transcripts,transcript,0.812394917011261
Transcriptome,C3178810||Transcriptome,transcript,0.796340823173523
"RNA Polymerases, DNA-Dependent","C0035681||RNA Polymerases, DNA-Dependent",transcript,0.7574096322059631
"DNA Polymerase, RNA-Dependent","C0035379||DNA Polymerase, RNA-Dependent",transcript,0.7048470377922058
transcript,UMLS:C1519595||transcript,transcript,1.0
neuropsychiatric conditions,UMLS:C4285807||neuropsychiatric conditions,neuropsychiatric conditions,1.0
Hyperinsulinism,C0020459||Hyperinsulinism,Hyperinsulinemia,0.9841665625572205
Infancy Hyperinsulinemia Hypoglycemia,C3888018||Infancy Hyperinsulinemia Hypoglycemia,Hyperinsulinemia,0.7237340211868286
Compensatory Hyperinsulinemia,C1257965||Compensatory Hyperinsulinemia,Hyperinsulinemia,0.7192637324333191
Hyperinsulinemia,UMLS:C0020459||Hyperinsulinemia,Hyperinsulinemia,1.0
diagnosis,UMLS:C0011900||diagnosis,diagnosis,1.0
BBB,UMLS:C1305865||BBB,BBB,1.0
Tumor,C0027651||Tumor,tumors,0.9990561008453369
Plant Tumors,C0032091||Plant Tumors,tumors,0.7964096069335938
Rectal Neoplasms,C0034885||Rectal Neoplasms,tumors,0.7842270135879517
"Neoplasms, Brain","C0006118||Neoplasms, Brain",tumors,0.7791091799736023
Retinal Neoplasms,C0524801||Retinal Neoplasms,tumors,0.7632418870925903
tumors,UMLS:C0027651||tumors,tumors,1.0
RNA-Binding Domains,C4277619||RNA-Binding Domains,binding domain,0.8661250472068787
Xylan Binding Domain,C5691350||Xylan Binding Domain,binding domain,0.8252434730529785
RNA Recognition Motif Proteins,C4042843||RNA Recognition Motif Proteins,binding domain,0.7864378094673157
Methyl CpG Binding Domain,C4277657||Methyl CpG Binding Domain,binding domain,0.7273197174072266
"LIM domain binding 1 protein, human","C1433433||LIM domain binding 1 protein, human",binding domain,0.7250276207923889
binding domain,UMLS:C1514535||binding domain,binding domain,1.0
TBDM,UMLS:C1275743||TBDM,TBDM,1.0
PHRs,UMLS:C0018739||PHRs,PHRs,1.0
Sulfate,C3536965||Sulfate,sulfate,0.9833784699440002
Cerebroside Sulfatase,C0007804||Cerebroside Sulfatase,sulfate,0.815772533416748
Sulfoiduronate Sulfatase,C0020814||Sulfoiduronate Sulfatase,sulfate,0.8084803223609924
Arylsulfatase C,C0052456||Arylsulfatase C,sulfate,0.7964507341384888
Sulfates,C0038720||Sulfates,sulfate,0.7886875867843628
sulfate,UMLS:C0038720||sulfate,sulfate,1.0
"beta, Trastuzumab","C0728747||beta, Trastuzumab",trastuzumab,0.9495283365249634
Trastuzumab DM1 Conjugate,C2935436||Trastuzumab DM1 Conjugate,trastuzumab,0.8038094639778137
zirconium-89-trastuzumab,C2983775||zirconium-89-trastuzumab,trastuzumab,0.7271462678909302
trastuzumab,UMLS:C0728747||trastuzumab,trastuzumab,1.0
gingival walls,UMLS:C0227114||gingival walls,gingival walls,1.0
Upper Limbs,C1140618||Upper Limbs,upper extremity,0.9859743714332581
Upper Extremity Bone,C0003793||Upper Extremity Bone,upper extremity,0.9157116413116455
Extremity,C0015385||Extremity,upper extremity,0.79972904920578
upper extremity,UMLS:C1140618||upper extremity,upper extremity,1.0
Case Reports,C0007320||Case Reports,case report,0.7607382535934448
case report,UMLS:C0085973||case report,case report,1.0
(CENTRAL),UMLS:C0282574||(CENTRAL),(CENTRAL),1.0
Suppresses,UMLS:C0038855||Suppresses,Suppresses,1.0
"Testis, Rete","C0035278||Testis, Rete",testis,0.7671172618865967
Cancer of the Testis,C0153594||Cancer of the Testis,testis,0.7130059599876404
testis,UMLS:C0039597||testis,testis,1.0
Men,C0025266||Men,men,0.9964844584465027
MEA IIa,C0025268||MEA IIa,men,0.8248874545097351
MEA 2b,C0025269||MEA 2b,men,0.804026186466217
men,UMLS:C0025266||men,men,1.0
side,UMLS:C0441987||side,side,1.0
Stable Diabetes Mellitus,C0011860||Stable Diabetes Mellitus,type 2 diabetes mellitus,0.9855219721794128
"Diabetes, Type 1","C0011854||Diabetes, Type 1",type 2 diabetes mellitus,0.9389891624450684
Diabetes Mellitus,C0011849||Diabetes Mellitus,type 2 diabetes mellitus,0.8565089106559753
Latent Autoimmune Diabetes in Adults,C1739108||Latent Autoimmune Diabetes in Adults,type 2 diabetes mellitus,0.7947266101837158
Diabulimia,C5197769||Diabulimia,type 2 diabetes mellitus,0.7581026554107666
type 2 diabetes mellitus,UMLS:C0011860||type 2 diabetes mellitus,type 2 diabetes mellitus,1.0
Human T Lymphotropic Virus Type III,C0019682||Human T Lymphotropic Virus Type III,HIV,0.9939058423042297
Human Immunodeficiency Virus Proteins,C1955876||Human Immunodeficiency Virus Proteins,HIV,0.7919051051139832
HIV Protease,C0079522||HIV Protease,HIV,0.7666909694671631
"tat Protein, HIV","C0040623||tat Protein, HIV",HIV,0.732243537902832
HIV,UMLS:C0019682||HIV,HIV,1.0
evaluated,UMLS:C0220825||evaluated,evaluated,1.0
Standing Orders,C4277736||Standing Orders,standing,0.7244225740432739
standing,UMLS:C0231472||standing,standing,1.0
late toxic effects,UMLS:C0160814||late toxic effects,late toxic effects,1.0
provinces,UMLS:C1514578||provinces,provinces,1.0
blebbishields,UMLS:C0243092||blebbishields,blebbishields,1.0
Four-Dimensional Computed Tomography,C2717955||Four-Dimensional Computed Tomography,4D,0.8196135759353638
4D,UMLS:C2347299||4D,4D,1.0
Woman,C0043210||Woman,women,0.9527007937431335
Lesbian,C1533642||Lesbian,women,0.722941517829895
women,UMLS:C0043210||women,women,1.0
RIPostC,UMLS:C2936234||RIPostC,RIPostC,1.0
tools,UMLS:C1516602||tools,tools,1.0
Childbirth,C1148523||Childbirth,childbirth,0.9652112722396851
Home Childbirth,C0019857||Home Childbirth,childbirth,0.8855783343315125
"Childbirth, Natural","C0027484||Childbirth, Natural",childbirth,0.8241003155708313
Childbirth Classes,C3658257||Childbirth Classes,childbirth,0.8208320736885071
childbirth,UMLS:C1148523||childbirth,childbirth,1.0
"L-Glutamic acid, N-(4-(((2,4-diamino-6-pteridinyl)methyl)methylamino)benzoyl)-","C0025677||L-Glutamic acid, N-(4-(((2,4-diamino-6-pteridinyl)methyl)methylamino)benzoyl)-",methotrexate,0.95709228515625
"Methotrexate, Disodium Salt","C0949359||Methotrexate, Disodium Salt",methotrexate,0.8017533421516418
methotrexate,UMLS:C0025677||methotrexate,methotrexate,1.0
19S Gamma Globulin,C0020861||19S Gamma Globulin,IgM,0.9944493770599365
IgM,UMLS:C0020861||IgM,IgM,1.0
dynamically regulated,UMLS:C1327622||dynamically regulated,dynamically regulated,1.0
prognostic factor,UMLS:C1514474||prognostic factor,prognostic factor,1.0
okanin,UMLS:C2934842||okanin,okanin,1.0
FBC,UMLS:C0007104||FBC,FBC,1.0
"Failures, Renal","C0035078||Failures, Renal",failure,0.840915322303772
Liver Failure,C0085605||Liver Failure,failure,0.8027085661888123
Cardiac Failure,C0018801||Cardiac Failure,failure,0.792527973651886
Levee Collapse,C2717752||Levee Collapse,failure,0.7883365154266357
Structure Collapses,C2362605||Structure Collapses,failure,0.7835848331451416
failure,UMLS:C0162643||failure,failure,1.0
Kinesiographic data,UMLS:C1516606||Kinesiographic data,Kinesiographic data,1.0
Dogs,C0012984||Dogs,dogs,0.9840587377548218
Alert Dogs,C5392799||Alert Dogs,dogs,0.7480326294898987
Hearing Dogs,C5392798||Hearing Dogs,dogs,0.7437161803245544
Seeing Eye Dogs,C0871317||Seeing Eye Dogs,dogs,0.7289454936981201
Herding Dogs,C5392858||Herding Dogs,dogs,0.7106716632843018
dogs,UMLS:C0012984||dogs,dogs,1.0
Post-Traumatic Neuroses,C0038436||Post-Traumatic Neuroses,posttraumatic stress disorder,0.964408278465271
"Stress Disorders, Traumatic","C0038441||Stress Disorders, Traumatic",posttraumatic stress disorder,0.8693720102310181
posttraumatic stress disorder,UMLS:C0038436||posttraumatic stress disorder,posttraumatic stress disorder,1.0
Rattus,C0034721||Rattus,rats,0.9682697653770447
"Rats, Inbred ACI","C0034698||Rats, Inbred ACI",rats,0.7464826703071594
Molerats,C0524809||Molerats,rats,0.7352206110954285
rats,UMLS:C0034693||rats,rats,1.0
B. cockerelli,UMLS:C1502411||B. cockerelli,B. cockerelli,1.0
Phosphorylation,C0031715||Phosphorylation,phosphorylation,0.9934709668159485
Photophosphorylation,C0031755||Photophosphorylation,phosphorylation,0.8741863369941711
Oxidative Phosphorylation,C0030013||Oxidative Phosphorylation,phosphorylation,0.7708114385604858
Phosphorylase,C0017916||Phosphorylase,phosphorylation,0.7691949605941772
Phosphorylase a,C0031709||Phosphorylase a,phosphorylation,0.7367690205574036
phosphorylation,UMLS:C1158886||phosphorylation,phosphorylation,1.0
Disorders,UMLS:C0012634||Disorders,Disorders,1.0
items,UMLS:C0282574||items,items,1.0
"Internal Medicine, General","C0021782||Internal Medicine, General",JAMA Internal Medicine,0.878683865070343
JAMA Internal Medicine,UMLS:C0282574||JAMA Internal Medicine,JAMA Internal Medicine,1.0
Cultures,UMLS:C0430400||Cultures,Cultures,1.0
Human Umbilical Vein Endothelial Cells,C3179121||Human Umbilical Vein Endothelial Cells,human umbilical vein endothelial cells,0.9643827676773071
human umbilical vein endothelial cells,UMLS:C3179121||human umbilical vein endothelial cells,human umbilical vein endothelial cells,1.0
"Peptide Synthesis, Synthetic","C3178925||Peptide Synthesis, Synthetic",synthesis,0.8049371838569641
bioformation,C0005572||bioformation,synthesis,0.7362508773803711
chemical synthesis,C4759732||chemical synthesis,synthesis,0.7305704951286316
Organic Synthesis,C1518610||Organic Synthesis,synthesis,0.7178713083267212
"Growth Factor, Fibroblast","C0016026||Growth Factor, Fibroblast",synthesis,0.7056244015693665
synthesis,UMLS:C0220781||synthesis,synthesis,1.0
elevation,UMLS:C0702240||elevation,elevation,1.0
Enzyme Assays,C2717977||Enzyme Assays,enzymatic,0.7054758667945862
enzymatic,UMLS:C0014442||enzymatic,enzymatic,1.0
Nerve Tissue Regeneration,C4326926||Nerve Tissue Regeneration,tissue degeneration,0.7768400311470032
"Tissue Regeneration, Guided","C0085147||Tissue Regeneration, Guided",tissue degeneration,0.7189834117889404
tissue degeneration,UMLS:C0011164||tissue degeneration,tissue degeneration,1.0
Image Reconstruction,C0020912||Image Reconstruction,reconstruction,0.8102044463157654
Breast Reconstruction,C0085076||Breast Reconstruction,reconstruction,0.8003128170967102
Mandibular Reconstruction,C2242551||Mandibular Reconstruction,reconstruction,0.7455909848213196
Construction Industry,C0682031||Construction Industry,reconstruction,0.7375366687774658
Instruction,C0302828||Instruction,reconstruction,0.7214572429656982
reconstruction,UMLS:C0524865||reconstruction,reconstruction,1.0
Larva,C0023047||Larva,larvae,0.9723002910614014
larvae,UMLS:C0023047||larvae,larvae,1.0
Gyrus Dentatus,C0152314||Gyrus Dentatus,dentate gyrus,0.959626317024231
Hilus of the Fascia Dentata,C1134421||Hilus of the Fascia Dentata,dentate gyrus,0.7830477356910706
dentate gyrus,UMLS:C0152314||dentate gyrus,dentate gyrus,1.0
syringe filters,UMLS:C0180875||syringe filters,syringe filters,1.0
National Comprehensive Cancer Network,UMLS:C1513893||National Comprehensive Cancer Network,National Comprehensive Cancer Network,1.0
Target of Rapamycin Complex 1,C3888046||Target of Rapamycin Complex 1,complex behaviors,0.8181332945823669
MTORC-2,C3152112||MTORC-2,complex behaviors,0.8127485513687134
Cytochrome b c2 Oxidoreductase,C1176474||Cytochrome b c2 Oxidoreductase,complex behaviors,0.8073316216468811
"Complex, Terminal Complement","C0009545||Complex, Terminal Complement",complex behaviors,0.7859824895858765
Edema-Proteinuria-Hypertension Gestosis,C0032914||Edema-Proteinuria-Hypertension Gestosis,complex behaviors,0.7790911793708801
complex behaviors,UMLS:C0474411||complex behaviors,complex behaviors,1.0
Immigration,C0020942||Immigration,migration velocity,0.9129558801651001
Human Migration,C0237731||Human Migration,migration velocity,0.8645679354667664
"Migration, Cell","C1622501||Migration, Cell",migration velocity,0.8144420981407166
Emigration and Immigration,C0013976||Emigration and Immigration,migration velocity,0.7935426235198975
Animal Migration,C0598402||Animal Migration,migration velocity,0.7478324174880981
migration velocity,UMLS:C1622501||migration velocity,migration velocity,1.0
"Pressure, Blood","C0005823||Pressure, Blood",blood pressure,0.9803903698921204
"Blood Pressure, Low","C0020649||Blood Pressure, Low",blood pressure,0.8619154095649719
Continuous Sphygmomanometers,C0005825||Continuous Sphygmomanometers,blood pressure,0.8585292100906372
"Pressures, Venous Blood","C0042486||Pressures, Venous Blood",blood pressure,0.834754228591919
"Blood Pressures, Arterial","C1272641||Blood Pressures, Arterial",blood pressure,0.8321809768676758
blood pressure,UMLS:C0005823||blood pressure,blood pressure,1.0
Vaccines,C0042210||Vaccines,vaccine,0.9665578603744507
"Vaccines, DNA","C0376613||Vaccines, DNA",vaccine,0.7647820115089417
FANG vaccine,C2983751||FANG vaccine,vaccine,0.7531613111495972
Influenzavirus Vaccines,C0021403||Influenzavirus Vaccines,vaccine,0.7496404051780701
"Vaccines, Viral","C0042742||Vaccines, Viral",vaccine,0.7375859618186951
vaccine,UMLS:C0042210||vaccine,vaccine,1.0
"Sleep, REM","C0037322||Sleep, REM",REM sleep,0.9855329990386963
Sleep Onset Latency,C4505222||Sleep Onset Latency,REM sleep,0.8007706999778748
Sleep,C0037313||Sleep,REM sleep,0.7890895009040833
REM Sleep Parasomnias,C0752301||REM Sleep Parasomnias,REM sleep,0.7073508501052856
REM sleep,UMLS:C0037322||REM sleep,REM sleep,1.0
Experimental Pig Model,UMLS:C0887965||Experimental Pig Model,Experimental Pig Model,1.0
Simulation Training,C4042947||Simulation Training,Simulating,0.7025643587112427
Simulating,UMLS:C0679083||Simulating,Simulating,1.0
RNAi Therapeutics,C4042855||RNAi Therapeutics,therapeutics,0.816577672958374
Senotherapeutics,C5544404||Senotherapeutics,therapeutics,0.8100660443305969
therapeutic use,C0039795||therapeutic use,therapeutics,0.792177677154541
Therapeutic Use,C1258064||Therapeutic Use,therapeutics,0.792177677154541
therapeutics,UMLS:C1254351||therapeutics,therapeutics,1.0
Pilus Retraction,UMLS:C1326523||Pilus Retraction,Pilus Retraction,1.0
Rewards,C0035397||Rewards,rewards,0.9699766039848328
rewards,UMLS:C0035397||rewards,rewards,1.0
Neurodevelopmental Disorder,C1535926||Neurodevelopmental Disorder,neurodevelopmental disorders,0.9834563136100769
Alcohol Related Neurodevelopmental Disorder,C0814154||Alcohol Related Neurodevelopmental Disorder,neurodevelopmental disorders,0.7655157446861267
Sex Development Disorders,C0036875||Sex Development Disorders,neurodevelopmental disorders,0.7146739363670349
Developmental Coordination Disorders,C0011757||Developmental Coordination Disorders,neurodevelopmental disorders,0.7087201476097107
"Disorders, Language Development","C0023014||Disorders, Language Development",neurodevelopmental disorders,0.7074310779571533
neurodevelopmental disorders,UMLS:C1535926||neurodevelopmental disorders,neurodevelopmental disorders,1.0
"MRI, Diffusion Weighted","C1136216||MRI, Diffusion Weighted",diffusion MRI,0.96549391746521
Diffusions,C0012222||Diffusions,diffusion MRI,0.8398752808570862
Diffusion Tensor MRI,C1537007||Diffusion Tensor MRI,diffusion MRI,0.8348032832145691
diffusion MRI,UMLS:C1136216||diffusion MRI,diffusion MRI,1.0
Genes,C0017337||Genes,XPC Gene,0.7399020791053772
XPC Gene,UMLS:C1421540||XPC Gene,XPC Gene,1.0
Prodrugs,C0033262||Prodrugs,prodrug,0.9288206696510315
prodrug,UMLS:C0033262||prodrug,prodrug,1.0
Cognitive Disorder,C0338656||Cognitive Disorder,Cognitive impairment,0.9768533110618591
"Impairment, Mild Cognitive","C1270972||Impairment, Mild Cognitive",Cognitive impairment,0.8818236589431763
Chemotherapy-Related Cognitive Impairment,C5392105||Chemotherapy-Related Cognitive Impairment,Cognitive impairment,0.7360267639160156
Cognitive impairment,UMLS:C0338656||Cognitive impairment,Cognitive impairment,1.0
recurrence-free survival,UMLS:C2919551||recurrence-free survival,recurrence-free survival,1.0
Frozen Sections,C0016741||Frozen Sections,frozen embryos,0.8015576004981995
Frozen Foods,C0016739||Frozen Foods,frozen embryos,0.7812948226928711
"Frozen Plasmas, Fresh","C0016709||Frozen Plasmas, Fresh",frozen embryos,0.7090399861335754
Embryo,C0013935||Embryo,frozen embryos,0.9960824251174927
Plant Zygotes,C0036563||Plant Zygotes,frozen embryos,0.8507528901100159
Chick Embryo,C0008046||Chick Embryo,frozen embryos,0.793113112449646
Aborted Fetus,C0000781||Aborted Fetus,frozen embryos,0.7590087056159973
"Embryo, Mammalian","C1956416||Embryo, Mammalian",frozen embryos,0.7374404072761536
frozen embryos,UMLS:C0440733||frozen embryos,frozen embryos,1.0
"Factor, Intrinsic","C0021918||Factor, Intrinsic",intrinsic,0.7933198809623718
"Positive-Pressure Respiration, Intrinsic","C0242676||Positive-Pressure Respiration, Intrinsic",intrinsic,0.7047035694122314
intrinsic,UMLS:C0205102||intrinsic,intrinsic,1.0
ZnO,UMLS:C0043491||ZnO,ZnO,1.0
Angiopoietin Like Protein 4,C4318429||Angiopoietin Like Protein 4,Angptl4-/-,0.7888745069503784
Angptl4-/-,UMLS:C1423931||Angptl4-/-,Angptl4-/-,1.0
SUF systems,UMLS:C3824407||SUF systems,SUF systems,1.0
evaluate,UMLS:C0220825||evaluate,evaluate,1.0
TusA,UMLS:C2973840||TusA,TusA,1.0
extent,UMLS:C0439792||extent,extent,1.0
higher stress,UMLS:C4075362||higher stress,higher stress,1.0
FMD,UMLS:C0016514||FMD,FMD,1.0
Questionnaires,C0034394||Questionnaires,questionnaires,0.9718374013900757
Test Anxiety Scale,C0039577||Test Anxiety Scale,questionnaires,0.7293187379837036
Surveys and Questionnaires,C4042892||Surveys and Questionnaires,questionnaires,0.715203583240509
questionnaires,UMLS:C0034394||questionnaires,questionnaires,1.0
experienced,UMLS:C0596545||experienced,experienced,1.0
Re-Irradiation,C4042794||Re-Irradiation,irradiation,0.9047520160675049
Radiation,C0851346||Radiation,irradiation,0.8023064136505127
Cranial Irradiation,C0079172||Cranial Irradiation,irradiation,0.7817855477333069
Food Irradiation,C0016474||Food Irradiation,irradiation,0.7815017104148865
Lymphatic Irradiation,C0024230||Lymphatic Irradiation,irradiation,0.7757333517074585
irradiation,UMLS:C1522449||irradiation,irradiation,1.0
gamma actin 1,UMLS:C3884655||gamma actin 1,gamma actin 1,1.0
Biological Monitoring,C0005517||Biological Monitoring,monitoring of disease activity,0.79026859998703
Uterine Monitoring,C0040345||Uterine Monitoring,monitoring of disease activity,0.7648858428001404
"Monitoring, Fetal","C0015945||Monitoring, Fetal",monitoring of disease activity,0.7529579997062683
Drug Monitoring,C0085421||Drug Monitoring,monitoring of disease activity,0.7478479146957397
Patient Monitoring,C0030695||Patient Monitoring,monitoring of disease activity,0.7216737866401672
monitoring of disease activity,UMLS:C1283169||monitoring of disease activity,monitoring of disease activity,1.0
Arsenic-75,C0003818||Arsenic-75,arsenic,0.9755789637565613
As2O3,C0052416||As2O3,arsenic,0.712088942527771
Arsenicals,C0003819||Arsenicals,arsenic,0.7018136978149414
arsenic,UMLS:C0003818||arsenic,arsenic,1.0
Energy Intake,C0006777||Energy Intake,intake,0.7536393404006958
Water Consumption,C0013123||Water Consumption,intake,0.749858021736145
"Intake, Food","C0013470||Intake, Food",intake,0.7195762395858765
Dietary Intake,C1286104||Dietary Intake,intake,0.7176434397697449
